,Ca+2,K+,F-,Cl-,Br-,NO3-,SO4-2,Mg+2,Na+,HCO3-,CO3-2,depth,t_yrs
0,0.0005198762768142835,8.41201425557393e-05,1.7692939806872782e-05,0.0004685975353086258,2.7070732039213574e-07,1.3605045545427806e-05,0.00021222668969007817,7.177942912713615e-05,0.0005072242398926514,0.0010025360539605234,1.7017666170341085e-07,4.75,0.30148027115615617
1,0.0008661637419723042,5.223961889991198e-05,1.1625188403280015e-05,0.00031138665771825614,2.441181106054889e-07,0.0,0.0002540387692316677,0.00010658595971472538,0.0003793149849736821,0.001897579587720849,1.3564381629092674e-06,5.75,1.5380121442951817
2,0.0008865433979891743,4.394404188918088e-05,9.349750030885996e-06,0.0003001926122241691,2.5585858869056476e-07,3.896727173078997e-07,0.0002462634730344995,9.055240722683607e-05,0.00035719058251119706,0.0019094135492272908,1.0466464385521964e-06,6.75,2.826623596009061
3,0.0012419382415199223,6.913532360375623e-05,1.1811362539340541e-05,0.0004059756632515682,3.671131996879641e-07,1.1444583707587128e-05,0.0002824229597144114,0.0001062918583275689,0.0004946522626750653,0.0028946762641760284,2.138454430146535e-06,7.75,4.171895172695214
4,0.0010752266003927256,4.3591317972472845e-05,1.1641260294104908e-05,0.00041171813799387055,3.5760205018090236e-07,9.366988779521153e-06,0.0002910717118066605,9.442782793644794e-05,0.0004972788632333997,0.0023458487106449485,1.4594862237826202e-06,8.75,5.5790396378950105
5,0.0011000185275062205,6.235912317626269e-05,1.2488204445903952e-05,0.00045782552279169365,4.1466750151569916e-07,9.055240722683607e-06,0.00029430659896990133,9.958639240535888e-05,0.0005548811863580899,0.002452449086072021,1.6741717139071142e-06,9.75,7.054023953522069
6,0.0010744841166445557,5.767664633922509e-05,1.3028667477561591e-05,0.0005003800659252665,4.264813065450337e-07,8.51138038202376e-06,0.0003126799256376112,9.673864499689507e-05,0.0005552646171195634,0.0022803420720004185,1.831049141471675e-06,10.75,8.603722177775968
7,0.0012047585025349529,5.505540984847947e-05,1.2000518202042658e-05,0.0005374028929503504,4.5877527054713567e-07,9.00119147103187e-06,0.00031477483141013175,0.00010456828853581379,0.0006546361740672747,0.0027252101638491986,2.536880440299941e-06,11.75,10.236109187357926
8,0.001256608520076332,5.377742459634421e-05,1.1833139924744619e-05,0.000605480275689862,4.80839348449729e-07,8.14329185209245e-06,0.00033689921574149063,0.00010512354552294832,0.00070745692162786,0.002804141985453693,1.615846120949001e-06,12.75,11.960509045822555
9,0.0012641540489485808,6.415049325106628e-05,1.0997652680385674e-05,0.0008175230379436502,5.712155216230431e-07,9.25976574561246e-06,0.000375404954472084,0.00010539014450691607,0.0009053155916484845,0.002732121443878487,1.6630296795457844e-06,13.75,13.787917627692197
10,0.0012173066653544745,6.528298441586141e-05,8.408141271704473e-06,0.0010565741960029285,7.082718805467454e-07,7.523154831868723e-06,0.0004751163763775616,0.00011975674959701067,0.0009332543007969915,0.0021742025461617322,1.4184041720008546e-06,14.75,15.731427842795371
11,0.0015556073985229103,8.077928410918555e-05,8.31763771102671e-06,0.0010502676773407101,7.462769020181435e-07,7.125248247522675e-06,0.0005171303179169629,0.00013384433676499072,0.0009928874013250433,0.0031622776601683794,2.711440008688312e-06,15.75,17.80679929076146
12,0.0016726304546595607,7.012938009624128e-05,1.0406387653975045e-05,0.0009702865247929215,7.547445749001333e-07,6.649668571246756e-06,0.0005804970271968697,0.00013756248102753075,0.0009970111150161653,0.0034205819525674978,3.880610013548697e-06,16.75,20.033235531803765
13,0.0015816121770080359,9.725232662363468e-05,9.13692373681454e-06,0.0013505168278550395,1.1104525353336392e-06,6.692679069358422e-06,0.0006663463144693568,0.0001443776604290736,0.0019520907340433062,0.003594181463147148,3.7436910398904477e-06,17.75,22.434466964313522
