Sample,t,h,Fe,S-2,NO3-,NO2-,SO4-2,pH,EC
106,5.864583333333333,140.75,,,,61.86536625204954,,,
107,5.901041666666667,141.625,0,,,,,,
108,5.953125,142.875,,0.005821038007497496,,,,,
109,5.989583333333333,143.75,,,1.0339295765334675,,1.9339569019362899,7.83,814
110,6.302083333333333,151.25,,,,79.9757778273,,,
111,6.328125,151.875,0,,,,,,
112,6.369791666666667,152.875,,0.021343806027490825,,,,,
113,6.40625,153.75,,,0.9841835080775875,,1.9965354986466792,7.97,801
114,6.552083333333333,157.25,,,,83.0834815887335,,,
115,6.588541666666667,158.125,0,,,,,,
116,6.640625,159.375,,0.014288002382039311,,,,,
117,6.677083333333333,160.25,,,1.0164954705192655,,1.8992931501145118,7.06,791
118,6.864583333333333,164.75,,,,121.23322431529661,,,
119,6.901041666666667,165.625,0.003984370408899461,,,,,,
120,6.953125,166.875,,0,,,,,
121,6.989583333333333,167.75,,,1.021527330904493,,1.9258671663543616,6.8,800
122,7.284027777777778,174.81666666666666,,,,125.7340366594417,,,
123,7.330902777777778,175.94166666666666,0.015194632915294543,,,,,,
124,7.373263888888889,176.95833333333334,,0.010760100559313555,,,,,
125,7.399305555555555,177.58333333333334,,,1.1061045175461939,,1.8385394545075993,7.42,858
