column,time,NO3
1,390837.4996969906,1.0485483870967742
1,498814.27751450357,1.0296774193548388
1,649993.3199952871,1.01
1,822792.4627580979,0.9887096774193548
1,909186.4201351142,0.9953225806451613
1,1.0820807473374768e6,1.310967741935484
1,1.1684142775145036e6,1.2253225806451613
1,1.254795882800494e6,1.306774193548387
1,1.3411967341129505e6,1.2779032258064518
1,1.5139732193397437e6,1.1993548387096775
1,1.5354376327985635e6,1.0229032258064517
1,1.6867767737286591e6,0.6577419354838709
1,1.7732001246849748e6,0.7122580645161289
1,1.8379975839538209e6,0.731774193548387
1,1.9459838077428315e6,0.7404838709677419
1,2.053993319995287e6,0.7225806451612903
1,2.0831084996876672e6,0.7057142857142857
1,2.1118984323269175e6,0.32071428571428573
1,2.140690743807285e6,0.12714285714285714
1,2.1550803031086815e6,0.12285714285714286
1,2.2135272878904548e6,0.062214285714285715
1,2.3071203031086815e6,0.11785714285714285
2,391161.80289477075,0.8928571428571429
2,499324.43792375014,0.7374193548387097
2,650528.4058831015,0.9241935483870968
2,823321.7715896445,0.8840322580645161
2,888141.3654190782,0.9500000000000001
2,909884.189647064,0.9085483870967742
2,1.0824443668921639e6,1.0240322580645163
2,1.1688729534564952e6,0.9616129032258064
2,1.2552998145675145e6,1.0785714285714285
2,1.3200962798196336e6,1.1043548387096773
2,1.5144825795838374e6,1.0071428571428571
2,1.5576774223094333e6,1.0
2,1.5792781627590072e6,0.016774193548387096
2,1.6008691948139973e6,0.5128571428571428
2,1.622472204259068e6,0.49193548387096775
2,1.6872774223094333e6,0.48142857142857143
2,1.7736884005452667e6,0.5178571428571429
2,1.8384927160031025e6,0.01564516129032258
2,1.9464811122164773e6,0.5411290322580645
2,2.0544912822568144e6,0.5459677419354839
2,2.0835631145066095e6,0.5285714285714286
2,2.112360813009184e6,0.1657142857142857
2,2.140780254133058e6,0.062
2,2.1555833114378825e6,0.028
2,2.2140233114378825e6,0.018142857142857145
2,2.30761556575243e6,0.022857142857142857
3,391032.08745753707,0.8296774193548386
3,499224.7790934134,0.8370967741935483
3,650415.7359801112,0.9064516129032258
3,823212.6847922642,0.8887096774193549
3,909615.7359801112,0.8585483870967742
3,1.0824119190816395e6,1.0806451612903225
3,1.168767088649534e6,0.9708064516129032
3,1.2551405049737038e6,1.149516129032258
3,1.341541383546906e6,1.1411290322580645
3,1.5143226265206872e6,1.0816129032258064
3,1.557530744903275e6,1.0793548387096774
3,1.579087933114048e6,0.8554838709677419
3,1.600714385647834e6,0.6135483870967742
3,1.6223153074353987e6,0.5656451612903226
3,1.6871235345618173e6,0.5512903225806451
3,1.773541383546906e6,0.5954838709677419
3,1.8383343144673796e6,0.5933870967741935
3,1.9463226265206872e6,0.6312903225806452
3,2.0543078896103424e6,0.6196774193548388
3,2.0834369762544057e6,0.6014285714285714
3,2.112228951263744e6,0.12785714285714286
3,2.1410069553399715e6,0.105
3,2.155472910379259e6,0.09714285714285716
3,2.2138608058982217e6,0.03
3,2.3074225869580563e6,0.04928571428571428
4,392225.68479226425,0.017580645161290324
4,500316.1715818515,0.016451612903225808
4,651525.5718748221,0.016129032258064516
4,824345.5854017917,0.016451612903225808
4,910705.9263187263,0.016129032258064516
4,1.083511717430472e6,0.0
4,1.1697227534325472e6,0.015806451612903224
4,1.2560892030163626e6,0.016129032258064516
4,1.3424941201017841e6,0.01596774193548387
4,1.5152862322416226e6,0.01596774193548387
4,1.6016762167349702e6,0.01596774193548387
4,1.6880587810132378e6,0.01596774193548387
4,1.7745283074353987e6,0.016774193548387096
4,1.8393199553399715e6,0.01596774193548387
4,1.9473095733201585e6,0.016451612903225808
4,2.05531714304388e6,0.0
