Column,Depth,TIC [mol/kg],TOC [mol/kg],fe2+ [mol/kg],fe3+ [mol/kg]
C1,0-4,0.062484389309799354,0.13050537007742902,0.012345887966351004,0.002273868
C1,4-8,0.24877195903754895,0.12659229040046627,0.015443414031206505,0.003016727
C2,0-4,0.085796353,0.12738323203729915,0.010375636369869014,0.003128307
C2,4-8,0.16755474148697028,0.097452335,0.016748282651476636,0.004660471
C3,0-4,0.051910748,0.12184664057946884,0.017634965819568693,0.002944708
C3,4-8,0.046166014,0.094288569,0.012471141684368333,0.004560418
C4,0-4,0.033136291732578475,0.062609275,0.012979984049925678,0.002315611
C4,4-8,0.041961535,0.072683374,0.036279639,0.003411823
