column,end_time,velocity
4,360828.0,2.520998138169397e-6
4,382428.0,2.313517760426252e-6
4,404028.0,2.9225730628335487e-6
4,425628.0,3.0028880477663798e-6
4,447228.0,3.1211295533619347e-6
4,468828.0,3.0363526248217252e-6
4,490428.0,3.1813657920615583e-6
4,533628.0,3.212599397313214e-6
4,555228.0,3.1746728766504884e-6
4,576828.0,2.3715230273221845e-6
4,598428.0,3.2549878615833186e-6
4,620028.0,3.214830369116904e-6
4,641628.0,3.2215232845279727e-6
4,663228.0,3.24606397436856e-6
4,706428.0,3.1345153841840735e-6
4,728028.0,3.1902896792763167e-6
4,749628.0,3.1501321868099013e-6
4,771228.0,3.212599397313214e-6
4,792828.0,3.214830369116904e-6
4,814428.0,3.1635180176320398e-6
4,836028.0,3.3196860438903206e-6
4,857628.0,3.2795285514239053e-6
4,879228.0,3.2416020307611806e-6
4,900828.0,3.16128704582835e-6
4,922428.0,3.1769038484541774e-6
4,944028.0,3.5650929422961917e-6
4,965628.0,3.6320220964068835e-6
4,987228.0,3.6677176452659192e-6
4,1.008828e6,3.669948617069609e-6
4,1.052028e6,3.263911748798077e-6
4,1.073628e6,3.212599397313214e-6
4,1.095228e6,3.1969825946873857e-6
4,1.116828e6,2.7150926850904043e-6
4,1.138428e6,2.7195546286977835e-6
4,1.160028e6,2.583465348672709e-6
4,1.181628e6,2.6503945027834007e-6
4,1.203228e6,2.6503945027834007e-6
4,1.224828e6,2.583465348672709e-6
4,1.246428e6,2.5700795178505713e-6
4,1.268028e6,2.572310489654261e-6
4,1.289628e6,2.57454146145795e-6
4,1.311228e6,2.57900340506533e-6
4,1.332828e6,2.57454146145795e-6
4,1.354428e6,2.583465348672709e-6
4,1.376028e6,2.5366149407952254e-6
4,1.397628e6,2.5343839689915348e-6
4,1.419228e6,2.541076884402605e-6
4,1.440828e6,2.5656175742431913e-6
4,1.462428e6,2.541076884402605e-6
4,1.484028e6,2.5522317434210532e-6
4,1.505628e6,2.556693687028433e-6
4,1.527228e6,2.5656175742431913e-6
4,1.613628e6,2.543307856206294e-6
4,1.656828e6,2.3090558168188728e-6
4,1.678428e6,2.471916758488222e-6
4,1.700028e6,2.5053813355435685e-6
4,1.721628e6,2.6503945027834007e-6
4,1.743228e6,2.668242277212919e-6
4,1.764828e6,2.6593183899981608e-6
4,1.786428e6,2.66378033360554e-6
4,1.808028e6,2.6459325591760215e-6
4,1.829628e6,2.6392396437649525e-6
4,1.851228e6,2.643701587372332e-6
4,1.872828e6,2.681628108035057e-6
4,1.894428e6,2.6905519952498164e-6
4,1.916028e6,2.608006038513297e-6
4,1.937628e6,2.6213918693354344e-6
4,1.959228e6,2.619160897531744e-6
4,1.980828e6,2.623622841139125e-6
4,2.002428e6,2.634777700157573e-6
4,2.024028e6,2.6392396437649525e-6
4,2.045628e6,2.6392396437649525e-6
4,2.067228e6,2.6370086719612627e-6
4,2.089128e6,2.6035440949059176e-6
4,2.096328e6,2.6303157565501937e-6
4,2.103528e6,2.6303157565501937e-6
4,2.110728e6,2.683859079838747e-6
4,2.117928e6,2.6236228411391242e-6
4,2.125128e6,2.6169299257280552e-6
4,2.132328e6,2.66378033360554e-6
4,2.139528e6,2.6035440949059176e-6
4,2.146728e6,2.6503945027834015e-6
4,2.153928e6,2.6370086719612627e-6
4,2.161128e6,2.6169299257280552e-6
