Column,Component,Rate_Corrected,Rate_Control
1,DOC,-1.8799058955256758,2.6108011707838625
1,DIC,1.3972284128513406,1.2341969170978266
2,DOC,-2.439135716440965,2.6108011707838625
2,DIC,1.8047455854588692,1.2341969170978266
3,DOC,-1.9763373546783776,2.6108011707838625
3,DIC,1.6757499086491354,1.2341969170978266
