h,NO3-,NO2-,SO4-2,pH,EC
0,-0.0015083190210390721,-2.1313868613138687,,,
6.625,,,0.21965438267749324,7.58,158
13,0.5338332693046479,5.313868613138685,,,
17.125,,,,7.66,285
21,0.028825515242593382,83.27007299270073,,,
25.125,,,0.23943368727878409,7.84,314
29,0.025100740661228003,116.7007299270073,,,
33.125,,,0.240474703310431,7.81,320
37,0.02576518892228424,107.06569343065692,,,
41.125,,,0.24151571934207786,7.87,324
45,0.025960015027908994,103.56204379562043,,,
49.125,,,0.240474703310431,7.75,324
53,0.026769375268355534,103.63503649635035,,,
57.16666,,,,7.83,323
61,0.02900101975096608,77.13868613138686,,,
65.125,,,0.24255673537372477,7.78,321
69,0.029784617861743242,73.7080291970803,,,
73.125,,,0.24359775140537163,7.84,323
77,0.028231912838127954,72.54014598540147,,,
81.225,,,0.24359775140537163,7.92,322
85,0.031752200515242586,51.299270072992705,,,
89.20833,,,0.240474703310431,7.88,316
93,0.03318521897810219,46.18978102189781,,,
97.20833,,,0.18946491775973348,7.91,307
101,0.03315462644911981,52.02919708029197,,,
105.20833,,,0.24151571934207786,7.97,319
109,0.03555050450837269,37.868613138686136,,,
113.20833,,,0.23839267124713717,7.85,290
117,0.892158278908951,28.08759124087591,,,
121.20833,,,0.28315636060795335,7.85,287
125,0.9236066077602765,21.226277372262775,,,
129.20833,,,0.24151571934207786,7.9,296
133,1.0310710718401843,9.036496350364963,,,
137.20833,,,0.240474703310431,8.02,282
141,0.816649250864387,2.1751824817518255,,,
145.20833,,,,8.04,278
149,,,,,
153.20833,,,0.23943368727878409,7.91,286
157,0.8265186323472911,-1.5474452554744522,,,
161.24166,,,,7.95,275
165,0.7763227045716481,-0.5255474452554743,,,
172.91666,,,,8.05,279
173,,,,,
181.5,0.780563964656166,-1.6934306569343065,,,
